booking_id,guest_id,room_id,checkin_date,checkout_date,total_price,payment_status,rating
94,16,82,2024-08-18,2024-08-23,810.7,Completed,2.0
95,183,71,2024-08-02,2024-08-09,3338.93,Completed,4.0
96,44,99,2024-11-05,2024-11-15,3296.0,Completed,
97,38,11,2025-04-08,2025-04-13,1757.9,Completed,2.0
98,379,50,2025-09-28,2025-10-04,1016.04,Completed,
99,158,57,2025-09-02,2025-09-08,2205.3,Completed,
100,45,24,2025-03-14,2025-03-21,411.32,Completed,4.0
101,53,4,2024-07-19,2024-07-21,630.34,Completed,
102,307,42,2024-05-27,2024-06-10,4348.82,Completed,
103,199,100,2025-11-14,2025-11-16,729.52,Completed,2.0
104,293,67,2023-12-29,2024-01-01,1334.01,Completed,
105,138,39,2024-09-17,2024-09-22,1333.05,Completed,
106,223,36,2024-06-21,2024-06-28,2039.31,Completed,3.0
107,129,32,2023-12-18,2023-12-30,3511.92,Completed,2.0
108,235,14,2025-08-08,2025-08-11,511.44,Completed,3.0
109,318,49,2025-10-30,2025-11-12,4283.76,Completed,4.0
110,334,77,2024-10-03,2024-10-06,1046.19,Completed,2.0
111,246,41,2024-04-20,2024-04-23,1043.52,Cancelled,3.0
112,377,89,2025-05-16,2025-05-27,858.22,Completed,2.0
113,167,49,2025-04-16,2025-04-21,1647.6,Completed,
114,59,73,2025-10-05,2025-10-09,429.12,Completed,5.0
115,14,94,2025-06-30,2025-07-08,2530.8,Completed,
116,150,89,2025-06-01,2025-06-03,156.04,Completed,4.0
117,345,64,2025-03-23,2025-03-26,1252.38,Completed,
118,338,20,2024-08-26,2024-09-07,5248.2,Completed,
119,230,77,2024-03-15,2024-03-23,2789.84,Completed,4.0
120,279,5,2024-11-29,2024-12-12,2275.52,Cancelled,5.0
121,305,82,2025-11-05,2025-11-07,324.28,Completed,
122,341,46,2024-03-12,2024-03-15,260.67,Completed,
123,331,87,2025-11-09,2025-11-20,4970.46,Completed,4.0
124,55,2,2025-03-07,2025-03-09,479.72,Completed,5.0
125,286,75,2024-06-28,2024-07-10,3876.0,Completed,4.0
126,238,99,2024-12-10,2024-12-21,3625.6,Completed,3.0
127,13,62,2024-08-23,2024-08-25,762.9,Completed,1.0
128,60,94,2024-04-14,2024-04-17,949.05,Completed,
129,106,67,2024-08-22,2024-08-30,3557.36,Completed,
130,370,90,2023-11-24,2023-12-02,1769.36,Completed,
131,364,15,2024-01-25,2024-01-26,228.03,Completed,2.0
132,380,32,2025-01-07,2025-01-16,2633.94,Completed,
133,287,55,2024-11-21,2024-11-29,3659.2,Completed,2.0
134,96,82,2025-07-02,2025-07-13,1783.54,Completed,
135,315,26,2024-04-03,2024-04-11,3157.04,Completed,
136,361,28,2024-08-12,2024-08-16,918.2,Completed,1.0
137,296,14,2024-08-31,2024-09-13,2216.24,Completed,
138,167,26,2023-12-15,2023-12-23,3157.04,Completed,4.0
139,271,82,2025-04-24,2025-04-30,972.84,Completed,5.0
140,59,45,2024-12-01,2024-12-07,623.7,Completed,3.0
141,315,76,2025-05-26,2025-05-28,525.86,Completed,
142,123,40,2025-07-28,2025-07-30,986.78,Completed,5.0
143,199,54,2025-02-19,2025-03-01,1416.2,Completed,
144,96,63,2025-01-22,2025-02-02,4447.52,Completed,2.0
145,285,22,2024-03-21,2024-03-29,3143.04,Completed,
146,231,80,2024-07-15,2024-07-16,272.47,Completed,4.0
147,70,25,2024-03-30,2024-04-13,6231.4,Completed,4.0
148,210,88,2025-03-21,2025-03-29,2943.12,Completed,4.0
149,86,11,2025-08-05,2025-08-15,3515.8,Pending,3.0
150,17,36,2025-05-10,2025-05-14,1165.32,Completed,
151,235,73,2024-01-29,2024-02-10,1287.36,Completed,5.0
152,58,74,2024-04-29,2024-05-01,593.14,Completed,3.0
153,278,97,2023-12-05,2023-12-06,261.64,Completed,2.0
154,218,14,2024-03-28,2024-04-09,2045.76,Completed,3.0
155,17,58,2024-07-05,2024-07-10,331.05,Completed,4.0
156,61,100,2024-12-11,2024-12-24,4741.88,Completed,5.0
157,353,45,2024-02-04,2024-02-18,1455.3,Completed,2.0
158,316,18,2024-05-19,2024-06-01,5071.3,Completed,
159,31,73,2025-04-28,2025-05-04,643.68,Completed,2.0
160,166,91,2024-10-01,2024-10-06,1461.0,Completed,
161,264,87,2025-06-15,2025-06-29,6326.04,Pending,4.0
162,31,36,2025-09-02,2025-09-16,4078.62,Completed,2.0
163,128,19,2023-12-05,2023-12-17,943.08,Completed,
164,347,51,2024-04-07,2024-04-15,967.92,Completed,4.0
165,193,58,2024-02-03,2024-02-05,132.42,Completed,1.0
166,207,66,2024-06-29,2024-07-11,4064.04,Completed,3.0
167,233,63,2024-04-27,2024-05-03,2425.92,Completed,1.0
168,375,59,2024-10-06,2024-10-17,757.02,Completed,
169,33,69,2025-06-13,2025-06-20,3183.46,Completed,2.0
170,254,35,2025-10-03,2025-10-09,2266.2,Completed,
171,296,17,2024-09-20,2024-09-30,2297.3,Completed,1.0
172,24,13,2025-06-10,2025-06-21,4722.08,Completed,1.0
173,81,57,2025-01-24,2025-02-01,2940.4,Pending,2.0
174,353,17,2025-03-13,2025-03-24,2527.03,Completed,3.0
175,48,84,2025-08-13,2025-08-19,1503.96,Completed,
176,333,22,2024-06-07,2024-06-08,392.88,Completed,
177,359,97,2024-12-14,2024-12-18,1046.56,Completed,
178,49,1,2025-05-22,2025-05-26,640.8,Completed,
179,116,67,2024-04-10,2024-04-21,4891.37,Completed,
180,176,16,2025-11-10,2025-11-24,2253.72,Completed,
181,37,30,2024-04-23,2024-04-30,1043.7,Pending,1.0
182,161,48,2024-05-12,2024-05-17,1761.3,Completed,2.0
183,329,87,2023-12-17,2023-12-20,1355.58,Pending,5.0
184,333,22,2023-12-10,2023-12-18,3143.04,Completed,
185,384,20,2024-11-26,2024-12-03,3061.45,Completed,2.0
186,45,13,2024-07-07,2024-07-10,1287.84,Completed,4.0
187,180,55,2024-08-30,2024-09-05,2744.4,Completed,
188,331,11,2023-12-14,2023-12-18,1406.32,Completed,5.0
189,146,100,2024-11-03,2024-11-15,4377.12,Pending,3.0
190,106,67,2025-04-07,2025-04-17,4446.7,Completed,3.0
191,331,7,2024-03-09,2024-03-22,3786.9,Completed,4.0
192,198,15,2025-03-27,2025-03-31,912.12,Completed,5.0
193,7,47,2024-07-31,2024-08-06,851.52,Completed,5.0
194,216,47,2025-01-05,2025-01-14,1277.28,Completed,1.0
195,9,76,2025-08-01,2025-08-03,525.86,Pending,
196,31,51,2024-04-25,2024-05-04,1088.91,Completed,4.0
197,217,90,2025-09-10,2025-09-17,1548.19,Pending,5.0
198,79,36,2025-01-16,2025-01-18,582.66,Completed,2.0
199,80,69,2025-07-04,2025-07-10,2728.68,Completed,1.0
200,159,90,2023-12-07,2023-12-14,1548.19,Completed,1.0
201,126,12,2024-09-10,2024-09-17,2646.77,Completed,1.0
202,159,86,2025-05-21,2025-06-02,2975.28,Completed,
203,7,91,2025-10-14,2025-10-17,876.6,Completed,
204,178,67,2025-06-22,2025-07-01,4002.03,Completed,2.0
205,191,17,2025-05-24,2025-06-05,2756.76,Completed,
206,61,99,2024-09-17,2024-09-18,329.6,Completed,5.0
207,33,34,2025-06-07,2025-06-19,2513.16,Cancelled,4.0
208,234,66,2025-08-07,2025-08-13,2032.02,Pending,2.0
209,189,21,2024-08-18,2024-08-23,501.0,Completed,1.0
210,117,95,2024-08-09,2024-08-18,1186.02,Pending,1.0
211,126,6,2024-08-20,2024-08-28,748.16,Completed,2.0
212,19,71,2025-04-21,2025-05-04,6200.87,Completed,4.0
213,115,42,2024-10-23,2024-10-27,1242.52,Completed,3.0
214,40,74,2023-12-22,2023-12-28,1779.42,Completed,1.0
215,92,29,2025-10-03,2025-10-16,2100.28,Completed,
216,206,9,2024-08-26,2024-09-03,3183.04,Completed,3.0
217,168,12,2024-11-01,2024-11-10,3402.99,Completed,
218,150,73,2025-07-17,2025-07-30,1394.64,Completed,4.0
219,189,76,2024-10-19,2024-10-27,2103.44,Cancelled,5.0
220,390,32,2024-01-23,2024-01-26,877.98,Pending,2.0
221,278,45,2024-04-23,2024-05-04,1143.45,Completed,3.0
222,1,98,2024-05-30,2024-06-10,4417.05,Completed,3.0
223,54,27,2024-10-09,2024-10-18,2587.05,Cancelled,1.0
224,73,92,2024-01-23,2024-01-28,864.1,Pending,5.0
225,212,90,2024-10-27,2024-11-02,1327.02,Completed,5.0
226,49,65,2025-02-17,2025-02-20,1041.03,Completed,
227,304,73,2025-03-27,2025-03-28,107.28,Completed,2.0
228,150,34,2025-08-22,2025-09-05,2932.02,Completed,3.0
229,163,58,2025-09-05,2025-09-10,331.05,Completed,2.0
230,400,99,2025-07-05,2025-07-15,3296.0,Completed,
231,231,60,2025-04-24,2025-04-30,2100.72,Completed,2.0
232,232,40,2023-12-22,2023-12-30,3947.12,Completed,
233,81,88,2024-01-26,2024-01-31,1839.45,Completed,1.0
234,111,42,2025-09-12,2025-09-15,931.89,Pending,
235,183,51,2024-01-12,2024-01-21,1088.91,Pending,
236,90,4,2024-02-18,2024-02-25,2206.19,Completed,5.0
237,128,13,2025-01-27,2025-02-04,3434.24,Completed,1.0
238,7,8,2025-05-17,2025-05-31,6278.3,Completed,
239,102,52,2024-08-04,2024-08-10,1108.32,Completed,1.0
240,299,76,2025-01-19,2025-01-24,1314.65,Completed,
241,34,26,2025-11-10,2025-11-21,4340.93,Completed,
242,170,16,2025-06-14,2025-06-15,160.98,Completed,
243,294,56,2025-05-31,2025-06-14,722.4,Completed,4.0
244,350,55,2025-10-31,2025-11-03,1372.2,Completed,3.0
245,144,58,2024-01-23,2024-01-26,198.63,Pending,2.0
246,332,38,2024-05-14,2024-05-22,3409.68,Completed,1.0
247,45,36,2025-05-26,2025-06-02,2039.31,Completed,
248,270,32,2025-06-26,2025-07-07,3219.26,Cancelled,1.0
249,196,92,2025-07-20,2025-07-26,1036.92,Completed,3.0
250,290,65,2024-08-05,2024-08-11,2082.06,Completed,
251,164,77,2024-11-23,2024-11-27,1394.92,Pending,3.0
252,30,61,2024-02-19,2024-02-28,3951.63,Completed,2.0
253,82,13,2024-07-20,2024-07-24,1717.12,Completed,
254,378,8,2024-12-07,2024-12-20,5829.85,Cancelled,
255,199,46,2024-12-01,2024-12-15,1216.46,Cancelled,
256,122,76,2025-05-16,2025-05-22,1577.58,Completed,5.0
257,15,91,2025-02-18,2025-03-02,3506.4,Completed,2.0
258,289,25,2025-10-05,2025-10-19,6231.4,Cancelled,4.0
259,278,40,2025-10-11,2025-10-14,1480.17,Completed,
260,120,78,2024-12-13,2024-12-17,1651.8,Pending,3.0
261,315,26,2025-05-16,2025-05-29,5130.19,Completed,3.0
262,31,3,2025-10-15,2025-10-18,418.44,Completed,1.0
263,270,47,2024-10-28,2024-10-30,283.84,Completed,4.0
264,301,13,2025-10-30,2025-11-05,2575.68,Completed,
265,81,94,2024-03-03,2024-03-10,2214.45,Completed,3.0
266,90,91,2024-03-03,2024-03-12,2629.8,Completed,3.0
267,115,86,2025-09-04,2025-09-14,2479.4,Completed,
268,376,89,2024-10-08,2024-10-13,390.1,Completed,5.0
269,201,99,2024-03-18,2024-03-28,3296.0,Pending,5.0
270,114,82,2024-08-14,2024-08-24,1621.4,Completed,3.0
271,382,10,2024-09-13,2024-09-17,1016.12,Completed,
272,326,12,2024-09-27,2024-10-11,5293.54,Completed,3.0
273,229,2,2025-10-04,2025-10-09,1199.3,Completed,3.0
274,132,14,2025-10-07,2025-10-19,2045.76,Pending,
275,376,54,2025-05-19,2025-05-22,424.86,Completed,4.0
276,180,70,2025-05-12,2025-05-19,3265.57,Completed,5.0
277,334,98,2024-10-14,2024-10-25,4417.05,Completed,1.0
278,151,3,2025-08-10,2025-08-16,836.88,Completed,
279,176,22,2025-10-04,2025-10-11,2750.16,Completed,
280,48,44,2023-11-19,2023-11-29,860.5,Cancelled,1.0
281,221,84,2025-06-01,2025-06-04,751.98,Completed,1.0
282,52,43,2025-05-16,2025-05-20,1058.2,Cancelled,5.0
283,370,94,2024-10-14,2024-10-23,2847.15,Completed,
284,122,13,2025-07-28,2025-07-29,429.28,Completed,4.0
285,79,7,2025-04-19,2025-04-25,1747.8,Pending,
286,339,81,2025-02-12,2025-02-22,1291.5,Completed,
287,106,22,2025-04-22,2025-05-03,4321.68,Completed,
288,60,40,2024-09-10,2024-09-23,6414.07,Completed,3.0
289,47,83,2024-07-22,2024-07-31,4450.95,Completed,
290,196,48,2024-11-07,2024-11-10,1056.78,Completed,
291,239,34,2024-01-24,2024-01-28,837.72,Completed,2.0
292,386,90,2024-06-25,2024-07-06,2432.87,Pending,5.0
293,212,97,2024-03-30,2024-04-09,2616.4,Completed,
294,199,67,2024-05-14,2024-05-21,3112.69,Cancelled,4.0
295,294,31,2025-07-24,2025-08-01,3494.72,Completed,
296,366,5,2024-12-30,2025-01-08,1575.36,Completed,5.0
297,347,80,2025-10-14,2025-10-17,817.41,Completed,2.0
298,86,28,2024-04-18,2024-05-01,2984.15,Completed,
299,41,88,2024-08-06,2024-08-13,2575.23,Completed,2.0
300,305,34,2024-04-15,2024-04-21,1256.58,Completed,1.0
301,45,50,2024-06-14,2024-06-23,1524.06,Completed,
302,142,67,2025-04-14,2025-04-22,3557.36,Completed,
303,359,80,2025-04-07,2025-04-17,2724.7,Completed,4.0
304,77,19,2025-05-20,2025-05-30,785.9,Completed,1.0
305,55,73,2024-06-07,2024-06-20,1394.64,Completed,
306,275,45,2024-05-19,2024-05-26,727.65,Completed,5.0
307,312,61,2025-03-17,2025-03-18,439.07,Completed,5.0
308,312,88,2023-12-17,2023-12-29,4414.68,Completed,
309,170,89,2025-02-11,2025-02-15,312.08,Pending,3.0
310,191,3,2024-05-10,2024-05-16,836.88,Completed,
311,144,63,2024-04-05,2024-04-19,5660.48,Completed,
312,117,18,2025-05-16,2025-05-21,1950.5,Cancelled,3.0
313,138,94,2025-09-26,2025-10-03,2214.45,Completed,
314,227,28,2024-01-08,2024-01-22,3213.7,Completed,5.0
315,192,8,2024-11-12,2024-11-21,4036.05,Completed,
316,364,65,2025-05-22,2025-05-29,2429.07,Completed,5.0
317,15,23,2024-11-07,2024-11-11,873.04,Completed,
318,30,32,2025-02-11,2025-02-12,292.66,Completed,2.0
319,141,48,2024-02-04,2024-02-18,4931.64,Completed,
320,64,88,2024-03-17,2024-03-18,367.89,Completed,4.0
321,91,61,2024-01-21,2024-01-31,4390.7,Completed,
322,133,96,2024-12-04,2024-12-18,2826.32,Completed,
323,198,7,2025-05-01,2025-05-04,873.9,Completed,2.0
324,114,83,2024-09-17,2024-09-21,1978.2,Completed,
325,210,66,2023-12-19,2023-12-20,338.67,Completed,1.0
326,243,17,2025-08-29,2025-09-09,2527.03,Completed,2.0
327,130,78,2025-09-15,2025-09-28,5368.35,Completed,3.0
328,217,49,2024-10-12,2024-10-26,4613.28,Completed,
329,239,39,2024-06-02,2024-06-13,2932.71,Completed,5.0
330,53,1,2024-11-14,2024-11-23,1441.8,Cancelled,3.0
331,288,83,2024-04-30,2024-05-10,4945.5,Completed,
332,56,62,2024-05-02,2024-05-04,762.9,Completed,
333,167,36,2024-09-13,2024-09-18,1456.65,Completed,3.0
334,97,20,2024-10-14,2024-10-23,3936.15,Completed,5.0
335,207,85,2025-06-05,2025-06-11,2567.64,Completed,4.0
336,152,34,2025-11-16,2025-11-23,1466.01,Completed,5.0
337,363,74,2024-01-15,2024-01-29,4151.98,Completed,2.0
338,352,69,2025-10-11,2025-10-22,5002.58,Completed,3.0
339,260,39,2025-01-27,2025-02-10,3732.54,Completed,5.0
340,93,38,2024-04-16,2024-04-18,852.42,Completed,5.0
341,391,24,2024-10-29,2024-11-09,646.36,Completed,2.0
342,182,29,2025-09-16,2025-09-28,1938.72,Completed,3.0
343,191,34,2025-10-03,2025-10-13,2094.3,Completed,4.0
344,28,82,2023-12-11,2023-12-21,1621.4,Completed,4.0
345,100,65,2024-12-31,2025-01-02,694.02,Completed,
346,153,53,2025-06-17,2025-06-18,384.09,Completed,
347,103,44,2025-08-06,2025-08-13,602.35,Cancelled,4.0
348,74,41,2024-12-06,2024-12-20,4869.76,Completed,4.0
349,171,81,2024-02-05,2024-02-08,387.45,Completed,
350,232,36,2024-06-12,2024-06-16,1165.32,Completed,
351,392,21,2025-01-20,2025-01-28,801.6,Completed,2.0
352,315,56,2024-03-28,2024-04-08,567.6,Completed,4.0
353,197,1,2025-02-13,2025-02-14,160.2,Completed,1.0
354,165,97,2024-02-21,2024-03-06,3662.96,Completed,
355,3,81,2023-11-30,2023-12-12,1549.8,Completed,3.0
356,160,17,2025-09-29,2025-10-01,459.46,Completed,2.0
357,34,6,2024-01-03,2024-01-08,467.6,Completed,5.0
358,306,68,2025-09-18,2025-09-24,1910.76,Completed,2.0
359,176,63,2024-04-16,2024-04-22,2425.92,Completed,
360,207,3,2024-11-21,2024-11-25,557.92,Completed,2.0
361,376,3,2024-01-07,2024-01-17,1394.8,Completed,
362,365,84,2024-11-27,2024-12-10,3258.58,Pending,3.0
363,395,69,2023-12-18,2023-12-28,4547.8,Pending,1.0
364,335,3,2024-03-04,2024-03-05,139.48,Completed,4.0
365,64,71,2024-05-11,2024-05-16,2384.95,Completed,
366,356,88,2025-05-08,2025-05-19,4046.79,Pending,1.0
367,340,67,2024-06-03,2024-06-08,2223.35,Completed,4.0
368,54,66,2025-06-11,2025-06-23,4064.04,Completed,
369,55,64,2024-08-09,2024-08-13,1669.84,Completed,5.0
370,104,46,2025-01-09,2025-01-21,1042.68,Completed,
371,281,64,2024-02-10,2024-02-14,1669.84,Completed,2.0
372,2,2,2025-06-06,2025-06-17,2638.46,Pending,
373,294,86,2023-11-21,2023-11-29,1983.52,Completed,
374,262,10,2025-03-08,2025-03-20,3048.36,Completed,2.0
375,234,38,2025-10-03,2025-10-08,2131.05,Completed,
376,90,6,2024-05-19,2024-06-02,1309.28,Completed,3.0
377,219,95,2025-06-08,2025-06-10,263.56,Pending,1.0
378,5,18,2025-03-26,2025-04-06,4291.1,Completed,
379,225,80,2025-10-04,2025-10-09,1362.35,Completed,
380,176,24,2025-08-25,2025-08-27,117.52,Completed,3.0
381,198,89,2024-08-07,2024-08-21,1092.28,Completed,2.0
382,58,17,2025-04-27,2025-05-09,2756.76,Completed,2.0
383,54,54,2025-09-27,2025-10-07,1416.2,Completed,4.0
384,93,79,2023-12-17,2023-12-24,3026.66,Completed,2.0
385,248,63,2025-09-06,2025-09-08,808.64,Completed,1.0
386,134,84,2025-11-11,2025-11-17,1503.96,Pending,5.0
387,393,96,2024-03-05,2024-03-15,2018.8,Completed,
388,343,44,2024-07-23,2024-08-01,774.45,Completed,1.0
389,222,85,2024-03-18,2024-03-30,5135.28,Completed,
390,347,83,2024-04-27,2024-05-04,3461.85,Completed,5.0
391,28,2,2024-05-17,2024-05-28,2638.46,Completed,4.0
392,254,22,2023-12-22,2023-12-24,785.76,Completed,
393,170,36,2024-03-17,2024-03-18,291.33,Completed,4.0
394,207,31,2024-07-29,2024-07-31,873.68,Completed,4.0
395,46,64,2024-07-26,2024-08-03,3339.68,Completed,1.0
396,53,52,2024-05-08,2024-05-15,1293.04,Pending,1.0
397,310,80,2024-05-13,2024-05-24,2997.17,Completed,2.0
398,336,86,2025-06-11,2025-06-19,1983.52,Cancelled,
399,28,29,2025-07-04,2025-07-18,2261.84,Completed,5.0
400,308,61,2024-11-03,2024-11-15,5268.84,Completed,1.0
401,50,98,2025-10-19,2025-10-30,4417.05,Completed,
402,325,38,2025-01-12,2025-01-21,3835.89,Completed,1.0
403,85,64,2025-01-18,2025-01-21,1252.38,Completed,4.0
404,55,33,2023-12-24,2024-01-03,4030.8,Completed,
405,202,28,2025-11-03,2025-11-11,1836.4,Completed,
406,174,14,2025-05-28,2025-06-10,2216.24,Completed,5.0
407,64,99,2025-08-28,2025-09-05,2636.8,Completed,5.0
408,69,64,2025-03-08,2025-03-09,417.46,Completed,
409,222,75,2024-07-19,2024-07-27,2584.0,Completed,2.0
410,355,75,2025-03-24,2025-03-27,969.0,Completed,
411,199,85,2025-06-11,2025-06-21,4279.4,Completed,
412,197,54,2024-12-23,2025-01-02,1416.2,Completed,3.0
413,204,44,2025-05-24,2025-05-29,430.25,Completed,
414,212,78,2024-01-15,2024-01-27,4955.4,Completed,5.0
415,161,92,2025-07-17,2025-07-29,2073.84,Completed,2.0
416,108,80,2024-06-30,2024-07-12,3269.64,Completed,
417,345,17,2024-12-08,2024-12-20,2756.76,Completed,5.0
418,278,89,2024-03-13,2024-03-24,858.22,Completed,
419,181,72,2024-08-11,2024-08-19,2225.68,Completed,4.0
420,346,96,2025-08-13,2025-08-27,2826.32,Completed,4.0
421,7,67,2024-11-18,2024-11-20,889.34,Pending,
422,344,8,2025-02-28,2025-03-04,1793.8,Completed,3.0
423,350,33,2024-08-05,2024-08-08,1209.24,Completed,3.0
424,105,97,2024-09-24,2024-10-03,2354.76,Pending,1.0
425,316,87,2024-04-14,2024-04-26,5422.32,Completed,
426,332,72,2025-03-20,2025-03-27,1947.47,Completed,3.0
427,355,86,2025-01-01,2025-01-02,247.94,Completed,
428,351,41,2025-09-08,2025-09-17,3130.56,Pending,2.0
429,318,100,2024-01-15,2024-01-29,5106.64,Completed,3.0
430,387,76,2025-03-18,2025-03-27,2366.37,Completed,
431,372,25,2024-11-30,2024-12-05,2225.5,Completed,1.0
432,96,23,2025-04-21,2025-05-03,2619.12,Completed,
433,220,36,2024-12-07,2024-12-16,2621.97,Completed,
434,131,1,2025-08-01,2025-08-07,961.2,Completed,1.0
435,79,42,2025-11-16,2025-11-26,3106.3,Pending,5.0
436,339,39,2025-09-28,2025-10-06,2132.88,Completed,1.0
437,363,41,2025-09-04,2025-09-13,3130.56,Completed,
438,35,65,2024-05-15,2024-05-18,1041.03,Completed,1.0
